sequence_id,segment_id,start_timestamp,end_timestamp,start_event_id,end_event_id,event_count,lstm_malicious_probability,lstm_prediction,lstm_prediction_label,lstm_threshold
203,scored_log,1778300199.685000,1778300199.695000,10728,10777,50,0.0005782747,0,benign,0.5
204,scored_log,1778300199.686000,1778300201.699000,10738,10787,50,0.0040191533,0,benign,0.5
205,scored_log,1778300199.688000,1778300201.699000,10748,10797,50,0.008858703,0,benign,0.5
206,scored_log,1778300199.688000,1778300201.701000,10758,10807,50,0.010099951,0,benign,0.5
207,scored_log,1778300199.689000,1778300201.716000,10768,10817,50,0.004371959,0,benign,0.5
208,scored_log,1778300199.695000,1778300203.929000,10778,10827,50,0.0014196801,0,benign,0.5
209,scored_log,1778300201.699000,1778300205.946000,10788,10837,50,0.010537605,0,benign,0.5
210,scored_log,1778300201.699000,1778300205.946000,10798,10847,50,0.010958265,0,benign,0.5
211,scored_log,1778300201.701000,1778300205.949000,10808,10857,50,0.011595602,0,benign,0.5
212,scored_log,1778300201.716000,1778300205.957000,10818,10867,50,0.0005544931,0,benign,0.5
213,scored_log,1778300203.929000,1778300205.965000,10828,10877,50,0.00037449633,0,benign,0.5
214,scored_log,1778300205.946000,1778300207.969000,10838,10887,50,0.008401398,0,benign,0.5
215,scored_log,1778300205.948000,1778300207.969000,10848,10897,50,0.0090864375,0,benign,0.5
216,scored_log,1778300205.949000,1778300207.971000,10858,10907,50,0.0024607633,0,benign,0.5
217,scored_log,1778300205.957000,1778300208.091000,10868,10917,50,0.0045187324,0,benign,0.5
218,scored_log,1778300207.968000,1778300210.216000,10878,10927,50,0.0006236715,0,benign,0.5
219,scored_log,1778300207.969000,1778300211.219000,10888,10937,50,0.009930557,0,benign,0.5
220,scored_log,1778300207.969000,1778300211.219000,10898,10947,50,0.01044623,0,benign,0.5
221,scored_log,1778300207.973000,1778300211.222000,10908,10957,50,0.0027717338,0,benign,0.5
222,scored_log,1778300208.091000,1778300211.227000,10918,10967,50,0.0007181064,0,benign,0.5
223,scored_log,1778300211.218000,1778300211.238000,10928,10977,50,0.00044387573,0,benign,0.5
224,scored_log,1778300211.219000,1778300214.242000,10938,10987,50,0.008384949,0,benign,0.5
225,scored_log,1778300211.219000,1778300214.242000,10948,10997,50,0.009236681,0,benign,0.5
226,scored_log,1778300211.222000,1778300214.245000,10958,11007,50,0.0014037163,0,benign,0.5
227,scored_log,1778300211.229000,1778300214.250000,10968,11017,50,0.0007334474,0,benign,0.5
228,scored_log,1778300214.240000,1778300214.327000,10978,11027,50,9.273488e-05,0,benign,0.5
229,scored_log,1778300214.242000,1778300214.437000,10988,11037,50,0.00010452214,0,benign,0.5
230,scored_log,1778300214.242000,1778300214.438000,10998,11047,50,0.00019844684,0,benign,0.5
231,scored_log,1778300214.246000,1778300214.461000,11008,11057,50,0.00058875664,0,benign,0.5
232,scored_log,1778300214.250000,1778300214.463000,11018,11067,50,0.00010986325,0,benign,0.5
233,scored_log,1778300214.327000,1778300214.478000,11028,11077,50,4.190023e-05,0,benign,0.5
234,scored_log,1778300214.438000,1778300214.490000,11038,11087,50,7.6232056e-05,0,benign,0.5
235,scored_log,1778300214.438000,1778300214.756000,11048,11097,50,0.011569055,0,benign,0.5
236,scored_log,1778300214.461000,1778300214.765000,11058,11107,50,0.00037239675,0,benign,0.5
237,scored_log,1778300214.463000,1778300214.776000,11068,11117,50,0.00011916997,0,benign,0.5
238,scored_log,1778300214.479000,1778300214.782000,11078,11127,50,4.1851792e-05,0,benign,0.5
239,scored_log,1778300214.493000,1778300214.795000,11088,11137,50,8.154452e-05,0,benign,0.5
240,scored_log,1778300214.756000,1778300214.799000,11098,11147,50,0.000115706425,0,benign,0.5
241,scored_log,1778300214.765000,1778300214.807000,11108,11157,50,0.0002219361,0,benign,0.5
242,scored_log,1778300214.777000,1778300214.810000,11118,11167,50,0.00013130583,0,benign,0.5
243,scored_log,1778300214.784000,1778300214.840000,11128,11177,50,0.00012213767,0,benign,0.5
244,scored_log,1778300214.796000,1778300214.942000,11138,11187,50,0.00012723204,0,benign,0.5
245,scored_log,1778300214.800000,1778300214.950000,11148,11197,50,0.00020013994,0,benign,0.5
246,scored_log,1778300214.808000,1778300214.966000,11158,11207,50,7.2196555e-05,0,benign,0.5
247,scored_log,1778300214.810000,1778300214.986000,11168,11217,50,7.428825e-05,0,benign,0.5
