tp,tn,fp,fn,precision,recall,f1,fpr,tnr,accuracy,threshold,predicted_positive
121,322,339,0,0.26304347826086955,1.0,0.4165232358003442,0.5128593040847201,0.48714069591527986,0.5664961636828645,0.00010450461,460
121,321,340,0,0.26247288503253796,1.0,0.41580756013745707,0.5143721633888049,0.4856278366111952,0.5652173913043478,0.00010442869,461
121,320,341,0,0.2619047619047619,1.0,0.41509433962264153,0.5158850226928896,0.48411497730711045,0.5639386189258312,0.00010300847,462
121,319,342,0,0.2613390928725702,1.0,0.4143835616438356,0.5173978819969742,0.4826021180030257,0.5626598465473146,0.0001029957,463
121,318,343,0,0.2607758620689655,1.0,0.4136752136752137,0.518910741301059,0.481089258698941,0.5613810741687979,0.00010299236,464
121,317,344,0,0.26021505376344084,1.0,0.4129692832764505,0.5204236006051437,0.4795763993948563,0.5601023017902813,0.000102886144,465
121,316,345,0,0.259656652360515,1.0,0.4122657580919931,0.5219364599092284,0.47806354009077157,0.5588235294117647,0.00010261455,466
121,315,346,0,0.25910064239828695,1.0,0.41156462585034015,0.5234493192133132,0.47655068078668683,0.5575447570332481,0.000102561135,467
121,314,347,0,0.25854700854700857,1.0,0.4108658743633277,0.5249621785173979,0.4750378214826021,0.5562659846547314,0.000101045596,468
121,313,348,0,0.2579957356076759,1.0,0.41016949152542376,0.5264750378214826,0.4735249621785174,0.5549872122762148,0.00010097355,469
121,312,349,0,0.2574468085106383,1.0,0.40947546531302875,0.5279878971255674,0.4720121028744327,0.5537084398976982,0.000100342535,470
121,311,350,0,0.25690021231422505,1.0,0.4087837837837838,0.529500756429652,0.47049924357034795,0.5524296675191815,0.00010034197,471
121,310,351,0,0.2563559322033898,1.0,0.40809443507588533,0.5310136157337367,0.4689863842662632,0.551150895140665,0.000100178666,472
121,309,352,0,0.2558139534883721,1.0,0.40740740740740744,0.5325264750378215,0.46747352496217853,0.5498721227621484,9.958453e-05,473
121,308,353,0,0.2552742616033755,1.0,0.40672268907563025,0.5340393343419062,0.4659606656580938,0.5485933503836317,9.954713e-05,474
121,307,354,0,0.25473684210526315,1.0,0.4060402684563758,0.5355521936459909,0.46444780635400906,0.5473145780051151,9.9544275e-05,475
121,306,355,0,0.2542016806722689,1.0,0.4053601340033501,0.5370650529500757,0.4629349470499244,0.5460358056265985,9.9306686e-05,476
121,305,356,0,0.25366876310272535,1.0,0.40468227424749165,0.5385779122541604,0.46142208774583965,0.5447570332480819,9.913335e-05,477
121,304,357,0,0.25313807531380755,1.0,0.40400667779632726,0.540090771558245,0.4599092284417549,0.5434782608695652,9.9072866e-05,478
121,303,358,0,0.25260960334029225,1.0,0.4033333333333333,0.5416036308623298,0.4583963691376702,0.5421994884910486,9.887655e-05,479
121,302,359,0,0.2520833333333333,1.0,0.4026622296173045,0.5431164901664145,0.4568835098335855,0.540920716112532,9.863924e-05,480
121,301,360,0,0.2515592515592516,1.0,0.4019933554817276,0.5446293494704992,0.45537065052950076,0.5396419437340153,9.85973e-05,481
121,300,361,0,0.25103734439834025,1.0,0.4013266998341625,0.546142208774584,0.45385779122541603,0.5383631713554987,9.859542e-05,482
121,299,362,0,0.2505175983436853,1.0,0.40066225165562913,0.5476550680786687,0.4523449319213313,0.5370843989769821,9.856853e-05,483
121,298,363,0,0.25,1.0,0.4,0.5491679273827534,0.4508320726172466,0.5358056265984654,9.856045e-05,484
121,297,364,0,0.24948453608247423,1.0,0.39933993399339934,0.5506807866868382,0.4493192133131619,0.5345268542199488,9.845186e-05,485
121,296,365,0,0.24897119341563786,1.0,0.3986820428336079,0.5521936459909228,0.44780635400907715,0.5332480818414322,9.835972e-05,486
121,295,366,0,0.24845995893223818,1.0,0.3980263157894737,0.5537065052950075,0.4462934947049924,0.5319693094629157,9.835239e-05,487
121,294,367,0,0.24795081967213115,1.0,0.3973727422003284,0.5552193645990923,0.44478063540090773,0.530690537084399,9.8254626e-05,488
121,293,368,0,0.2474437627811861,1.0,0.39672131147540984,0.556732223903177,0.443267776096823,0.5294117647058824,9.82387e-05,489
121,292,369,0,0.24693877551020407,1.0,0.39607201309328965,0.5582450832072617,0.44175491679273826,0.5281329923273658,9.803329e-05,490
121,291,370,0,0.24643584521384929,1.0,0.3954248366013072,0.5597579425113465,0.4402420574886536,0.5268542199488491,9.802235e-05,491
121,290,371,0,0.2459349593495935,1.0,0.3947797716150082,0.5612708018154312,0.43872919818456885,0.5255754475703325,9.7689874e-05,492
121,289,372,0,0.24543610547667344,1.0,0.3941368078175896,0.5627836611195158,0.4372163388804841,0.5242966751918159,9.757406e-05,493
121,288,373,0,0.24493927125506074,1.0,0.39349593495934965,0.5642965204236006,0.4357034795763994,0.5230179028132992,9.754131e-05,494
121,287,374,0,0.24444444444444444,1.0,0.39285714285714285,0.5658093797276853,0.4341906202723147,0.5217391304347826,9.72278e-05,495
121,286,375,0,0.2439516129032258,1.0,0.39222042139384117,0.56732223903177,0.43267776096822996,0.520460358056266,9.7152e-05,496
121,285,376,0,0.24346076458752516,1.0,0.3915857605177994,0.5688350983358548,0.43116490166414523,0.5191815856777494,9.689691e-05,497
121,284,377,0,0.2429718875502008,1.0,0.39095315024232635,0.5703479576399395,0.4296520423600605,0.5179028132992327,9.613917e-05,498
121,283,378,0,0.24248496993987975,1.0,0.3903225806451613,0.5718608169440242,0.4281391830559758,0.5166240409207161,9.612973e-05,499
121,282,379,0,0.242,1.0,0.3896940418679549,0.573373676248109,0.4266263237518911,0.5153452685421995,9.612303e-05,500
121,281,380,0,0.24151696606786427,1.0,0.3890675241157556,0.5748865355521936,0.42511346444780634,0.5140664961636828,9.6060634e-05,501
121,280,381,0,0.2410358565737052,1.0,0.3884430176565008,0.5763993948562783,0.4236006051437216,0.5127877237851662,9.6001575e-05,502
121,279,382,0,0.24055666003976142,1.0,0.3878205128205128,0.5779122541603631,0.42208774583963693,0.5115089514066496,9.595489e-05,503
121,278,383,0,0.2400793650793651,1.0,0.3872,0.5794251134644478,0.4205748865355522,0.510230179028133,9.595398e-05,504
121,277,384,0,0.2396039603960396,1.0,0.38658146964856227,0.5809379727685325,0.41906202723146746,0.5089514066496164,9.592305e-05,505
121,276,385,0,0.2391304347826087,1.0,0.3859649122807018,0.5824508320726173,0.4175491679273828,0.5076726342710998,9.58777e-05,506
121,275,386,0,0.23865877712031558,1.0,0.38535031847133755,0.583963691376702,0.41603630862329805,0.5063938618925832,9.5811345e-05,507
121,274,387,0,0.23818897637795275,1.0,0.3847376788553259,0.5854765506807866,0.4145234493192133,0.5051150895140665,9.532434e-05,508
121,273,388,0,0.23772102161100198,1.0,0.38412698412698415,0.5869894099848714,0.4130105900151286,0.5038363171355499,9.5185635e-05,509
121,272,389,0,0.2372549019607843,1.0,0.38351822503961963,0.5885022692889561,0.4114977307110439,0.5025575447570333,9.5054565e-05,510
121,271,390,0,0.23679060665362034,1.0,0.3829113924050633,0.5900151285930408,0.40998487140695916,0.5012787723785166,9.401052e-05,511
121,270,391,0,0.236328125,1.0,0.382306477093207,0.5915279878971256,0.4084720121028744,0.5,9.3983006e-05,512
121,269,392,0,0.23586744639376217,1.0,0.3817034700315457,0.5930408472012103,0.4069591527987897,0.49872122762148335,9.397529e-05,513
121,268,393,0,0.23540856031128404,1.0,0.3811023622047244,0.594553706505295,0.405446293494705,0.49744245524296676,9.335321e-05,514
121,267,394,0,0.23495145631067962,1.0,0.3805031446540881,0.5960665658093798,0.4039334341906203,0.4961636828644501,9.329429e-05,515
121,266,395,0,0.23449612403100775,1.0,0.37990580847723704,0.5975794251134644,0.40242057488653554,0.4948849104859335,9.273461e-05,516
121,265,396,0,0.23404255319148937,1.0,0.3793103448275862,0.5990922844175491,0.4009077155824508,0.4936061381074169,9.27187e-05,517
121,264,397,0,0.2335907335907336,1.0,0.378716744913928,0.6006051437216339,0.39939485627836613,0.49232736572890023,9.270915e-05,518
121,263,398,0,0.23314065510597304,1.0,0.378125,0.6021180030257186,0.3978819969742814,0.49104859335038364,9.255599e-05,519
121,262,399,0,0.2326923076923077,1.0,0.37753510140405616,0.6036308623298033,0.39636913767019666,0.489769820971867,9.2371614e-05,520
121,261,400,0,0.23224568138195778,1.0,0.37694704049844235,0.6051437216338881,0.394856278366112,0.4884910485933504,9.211002e-05,521
121,260,401,0,0.23180076628352492,1.0,0.37636080870917576,0.6066565809379728,0.39334341906202724,0.48721227621483376,9.2063136e-05,522
121,259,402,0,0.23135755258126195,1.0,0.375776397515528,0.6081694402420574,0.3918305597579425,0.4859335038363171,9.160365e-05,523
121,258,403,0,0.23091603053435114,1.0,0.37519379844961237,0.6096822995461422,0.3903177004538578,0.4846547314578005,9.1237154e-05,524
121,257,404,0,0.23047619047619047,1.0,0.3746130030959752,0.6111951588502269,0.3888048411497731,0.4833759590792839,9.082924e-05,525
121,256,405,0,0.2300380228136882,1.0,0.3740340030911901,0.6127080181543116,0.38729198184568836,0.4820971867007673,9.040858e-05,526
121,255,406,0,0.22960151802656548,1.0,0.37345679012345684,0.6142208774583964,0.3857791225416036,0.48081841432225064,9.0400565e-05,527
121,254,407,0,0.22916666666666666,1.0,0.37288135593220334,0.6157337367624811,0.3842662632375189,0.479539641943734,9.038591e-05,528
121,253,408,0,0.22873345935727787,1.0,0.3723076923076923,0.6172465960665658,0.3827534039334342,0.4782608695652174,9.033766e-05,529
121,252,409,0,0.22830188679245284,1.0,0.37173579109062976,0.6187594553706506,0.3812405446293495,0.47698209718670076,9.032302e-05,530
121,251,410,0,0.2278719397363465,1.0,0.37116564417177916,0.6202723146747352,0.37972768532526474,0.47570332480818417,9.029253e-05,531
121,250,411,0,0.2274436090225564,1.0,0.3705972434915773,0.6217851739788199,0.37821482602118,0.4744245524296675,9.027866e-05,532
121,249,412,0,0.2270168855534709,1.0,0.37003058103975534,0.6232980332829047,0.3767019667170953,0.4731457800511509,9.0213696e-05,533
121,248,413,0,0.22659176029962547,1.0,0.3694656488549618,0.6248108925869894,0.3751891074130106,0.4718670076726343,9.020681e-05,534
121,247,414,0,0.2261682242990654,1.0,0.36890243902439024,0.6263237518910741,0.37367624810892586,0.47058823529411764,9.0203896e-05,535
121,246,415,0,0.22574626865671643,1.0,0.36834094368340947,0.6278366111951589,0.3721633888048411,0.46930946291560105,9.0170775e-05,536
121,245,416,0,0.22532588454376165,1.0,0.3677811550151976,0.6293494704992436,0.37065052950075644,0.4680306905370844,9.01706e-05,537
121,244,417,0,0.22490706319702602,1.0,0.36722306525037934,0.6308623298033282,0.3691376701966717,0.46675191815856776,9.016579e-05,538
121,243,418,0,0.22448979591836735,1.0,0.36666666666666664,0.632375189107413,0.367624810892587,0.46547314578005117,9.004807e-05,539
121,242,419,0,0.22407407407407406,1.0,0.36611195158850224,0.6338880484114977,0.3661119515885023,0.4641943734015345,8.995675e-05,540
121,241,420,0,0.22365988909426987,1.0,0.36555891238670696,0.6354009077155824,0.36459909228441756,0.4629156010230179,8.9918925e-05,541
121,240,421,0,0.22324723247232472,1.0,0.36500754147812975,0.6369137670196672,0.3630862329803328,0.4616368286445013,8.9894755e-05,542
121,239,422,0,0.22283609576427257,1.0,0.36445783132530124,0.6384266263237519,0.3615733736762481,0.46035805626598464,8.9780304e-05,543
121,238,423,0,0.22242647058823528,1.0,0.3639097744360902,0.6399394856278366,0.3600605143721634,0.45907928388746805,8.9727575e-05,544
121,237,424,0,0.22201834862385322,1.0,0.3633633633633634,0.6414523449319214,0.3585476550680787,0.4578005115089514,8.960411e-05,545
121,236,425,0,0.2216117216117216,1.0,0.3628185907046476,0.642965204236006,0.35703479576399394,0.45652173913043476,8.95485e-05,546
121,235,426,0,0.22120658135283364,1.0,0.3622754491017964,0.6444780635400907,0.3555219364599092,0.45524296675191817,8.9468274e-05,547
121,234,427,0,0.2208029197080292,1.0,0.3617339312406577,0.6459909228441755,0.3540090771558245,0.4539641943734015,8.9451634e-05,548
121,233,428,0,0.2204007285974499,1.0,0.3611940298507463,0.6475037821482602,0.3524962178517398,0.45268542199488493,8.9433386e-05,549
121,232,429,0,0.22,1.0,0.36065573770491804,0.649016641452345,0.35098335854765506,0.4514066496163683,8.9395784e-05,550
121,231,430,0,0.21960072595281308,1.0,0.36011904761904767,0.6505295007564297,0.3494704992435703,0.45012787723785164,8.938718e-05,551
121,230,431,0,0.21920289855072464,1.0,0.35958395245170877,0.6520423600605144,0.34795763993948564,0.44884910485933505,8.936979e-05,552
